id,title,vote_average,vote_count,revenue,runtime,budget,original_language,original_title,overview,popularity,poster_path,genres,poster_url,local_poster_path,poster_features,overview_sentiment,popularity_normalized,runtime_normalized,similarity_score,song_Unnamed: 0,song_track_id,song_artists,song_album_name,song_track_name,song_popularity,song_duration_ms,song_explicit,song_danceability,song_energy,song_key,song_loudness,song_mode,song_speechiness,song_acousticness,song_instrumentalness,song_liveness,song_valence,song_tempo,song_time_signature,song_track_genre,song_popularity_normalized,song_tempo_normalized
198663,The Maze Runner,7.173,15901,348319861,113,34000000,en,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",83.206,/ode14q7WtDugFDp78fo9lCsmay9.jpg,"Action, Mystery, Science Fiction, Thriller",https://image.tmdb.org/t/p/w500/ode14q7WtDugFDp78fo9lCsmay9.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/198663.jpg,[0. 0. 0. ... 0. 0. 0.],-0.05,0.34270359388579313,0.2666666666666666,0.9494625291778114,0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,0.8902439024390244,0.09217341491164566
1930,The Amazing Spider-Man,6.691,16352,757930663,136,215000000,en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",78.989,/jIfkQNARYyERqRAq1p1c8xgePp4.jpg,"Action, Adventure, Fantasy",https://image.tmdb.org/t/p/w500/jIfkQNARYyERqRAq1p1c8xgePp4.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/694.jpg,[0. 0. 0. ... 0. 0. 0.],0.152,0.3157558407034405,0.45833333333333326,0.946210753937443,0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,0.8902439024390244,0.09217341491164566
49051,The Hobbit: An Unexpected Journey,7.339,17356,1021103568,169,250000000,en,The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",83.524,/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,"Adventure, Fantasy, Action",https://image.tmdb.org/t/p/w500/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/585.jpg,[0. 0. 0. ... 0. 0. 0.],0.13749999999999998,0.3447356985839169,0.7333333333333332,0.9360326789826975,0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,0.8902439024390244,0.09217341491164566
634649,Spider-Man: No Way Home,7.99,18299,1921847111,148,200000000,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",186.065,/5weKu49pzJCt06OPpjvT80efnQj.jpg,"Action, Adventure, Science Fiction",https://image.tmdb.org/t/p/w500/5weKu49pzJCt06OPpjvT80efnQj.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/12.jpg,[0. 0. 0. ... 0. 0. 0.],0.10000000000000002,1.0,0.5583333333333333,0.9326689240579222,0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,0.8902439024390244,0.09217341491164566
284052,Doctor Strange,7.427,20935,676343174,115,180000000,en,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",70.535,/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,"Action, Adventure, Fantasy",https://image.tmdb.org/t/p/w500/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/284052.jpg,[0. 0. 0. ... 0. 0. 0.],0.012121212121212125,0.26173252901180916,0.2833333333333333,0.9289971059248845,0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,0.8902439024390244,0.09217341491164566
424694,Bohemian Rhapsody,7.997,15965,903992901,135,52000000,en,Bohemian Rhapsody,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",37.55,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,"Music, Drama, History",https://image.tmdb.org/t/p/w500/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/77338.jpg,[0. 0. 0. ... 0. 0. 0.],0.25,0.05094959357906034,0.44999999999999996,0.650419508089404,1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,acoustic,0.6707317073170732,0.0092054070826737
9806,The Incredibles,7.704,16584,631442092,115,92000000,en,The Incredibles,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",62.609,/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,"Action, Adventure, Animation, Family",https://image.tmdb.org/t/p/w500/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/37165.jpg,[0. 0. 0. ... 0. 0. 0.],0.2333333333333333,0.211083277951025,0.2833333333333333,0.6476012821165887,1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,acoustic,0.6707317073170732,0.0092054070826737
807,Se7en,8.368,19403,327311859,127,33000000,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",53.521,/6yoghtyTpznpBik8EngEmJskVUO.jpg,"Crime, Mystery, Thriller",https://image.tmdb.org/t/p/w500/6yoghtyTpznpBik8EngEmJskVUO.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/807.jpg,[0. 0. 0. ... 0. 0. 0.],-0.12916666666666668,0.15300853739583864,0.3833333333333333,0.6347754506192806,1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,acoustic,0.6707317073170732,0.0092054070826737
12,Finding Nemo,7.824,18061,940335536,100,94000000,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",55.456,/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg,"Animation, Family",https://image.tmdb.org/t/p/w500/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/263115.jpg,[0. 0. 0. ... 0. 0. 0.],0.325,0.16537370277593166,0.15833333333333333,0.6319302913297141,1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,acoustic,0.6707317073170732,0.0092054070826737
496243,Parasite,8.515,16430,257591776,133,11363000,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",64.627,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,"Comedy, Thriller, Drama",https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,/content/drive/MyDrive/Colab Notebooks/Posters/98.jpg,[0. 0. 0. ... 0. 0. 0.],0.3,0.223978835437861,0.43333333333333335,0.6314718071915275,1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4,acoustic,0.6707317073170732,0.0092054070826737
